artists,genres
Buzz Junkies,[]
Buzz Junkies Radio,[]
Buzzcocks,"['alternative rock', 'art rock', 'dance rock', 'hardcore punk', 'madchester', 'new wave', 'post-punk', 'pub rock', 'punk', 'ska', 'uk post-punk']"
Bvoice,[]
Bye Bye Birdie Ensemble,[]
Bye Bye Birdie Orchestra,[]
Bynamic,[]
Byron Cage,"['contemporary gospel', 'gospel']"
Byron J. Smith,[]
Byron Janis,"['american classical piano', 'classical piano']"
Byron Nemeth,[]
Byron Utley,[]
BytheBy,[]
Byze,[]
C & C Music Factory,"['diva house', 'eurodance', 'hip house']"
C S R Anjaneyulu,[]
C-Alvin,"[""children's music""]"
C-Bo,"['funk', 'p funk', 'quiet storm', 'soul']"
C-BONY,[]
C-Code,"['dance pop', 'edm', 'electro house', 'electropop', 'pop', 'pop dance', 'pop edm', 'pop rap', 'post-teen pop', 'tropical house']"
C-Energized,['remix product']
C-Fast,['memphis hip hop']
C-Kan,"['indie cafe pop', 'pop']"
C-Loc,"['baton rouge rap', 'deep southern trap', 'dirty texas rap']"
C-Murder,"['crunk', 'deep southern trap', 'dirty south rap', 'gangster rap', 'new orleans rap', 'southern hip hop', 'wrestling']"
C-PO,"['comic', 'rap rock']"
C-Quence,[]
C-Quint,['gypsy jazz']
C-Rayz Walz,"['bronx hip hop', 'conscious hip hop']"
C-Rock,"['black comedy', 'comedy']"
C-System,"['celtic', 'world', 'world fusion']"
C. Ashwath,"['kannada bhava geethe', 'sandalwood']"
C. H. Atma,"['classic bollywood', 'ghazal']"
C. Harris,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'pop dance', 'progressive house', 'uk dance']"
C. Parlato,[]
C. R. Subburaman,[]
C. Ramchandra,['classic bollywood']
C. Rivera,"['latin', 'latin arena pop', 'latin pop', 'mexican pop']"
C. S. Jayaraman,[]
C. S. Radhadevi,[]
C. Tangana,['urbano espanol']
C.C.Grand,['dutch americana']
C.L. Smooth,"['alternative hip hop', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'jazz rap', 'turntablism']"
C.L.T,[]
C.P.O.,['g funk']
C.W. McCall,['truck-driving country']
C'est Life,[]
C418,['minecraft']
C4C,"['chillhop', 'lo-fi beats']"
Ca$h Out,"['atl hip hop', 'deep southern trap', 'rap', 'southern hip hop', 'trap']"
Ca$his,[]
Caamp,"['indie folk', 'new americana', 'stomp and holler']"
Cab Calloway,"['big band', 'harlem renaissance', 'jazz blues', 'swing']"
Cab Calloway & His Orchestra,"['big band', 'stride', 'swing']"
Cab Calloway & His Orchestra; vocal by Cab Calloway & The Palmer Brothers,[]
Caballo Dorado,['regional mexican']
Cabaret Ensemble,[]
Cabaret Ensemble (1998),[]
Cabaret Voltaire,"['ambient industrial', 'art rock', 'bleep techno', 'british experimental', 'british industrial', 'dance rock', 'ebm', 'experimental', 'experimental rock', 'industrial', 'industrial rock', 'new romantic', 'new wave', 'post-punk', 'proto-techno', 'synthpop', 'uk post-punk']"
Cabas,"['colombian pop', 'colombian rock', 'ecuadorian pop', 'latin', 'latin alternative', 'latin pop', 'latin rock', 'reggaeton colombiano']"
Cable Car Theory,[]
Cabu,"['indie soul', 'new french touch', 'vapor twitch']"
Cachorro,"['corrido', 'deep regional mexican', 'norteno', 'regional mexican', 'tex-mex']"
Cactus,"['alternative country', 'midwest americana', 'new americana']"
Cadatta,[]
CADE,"['corrido', 'norteno', 'regional mexican']"
Cade Walker,[]
Cadillac,"['contemporary country', 'modern southern rock']"
Caedmon's Call,"['ccm', 'christian alternative rock', 'christian music', 'roots worship', 'worship']"
Caesars,['swedish indie rock']
Caetano Veloso,"['bossa nova', 'mpb', 'samba de roda', 'tropicalia']"
Cæv,[]
Cafe BGM,[]
Cafe Jazz Deluxe,['dinner jazz']
Cafe Jazz Relax,['dinner jazz']
Cafe Latino Dance Club,[]
Café Quijano,"['cantautor', 'latin pop', 'rumba', 'spanish pop']"
Café Tacvba,"['latin', 'latin alternative', 'latin rock', 'mexican rock', 'rock en espanol']"
Cage,"['indie rock', 'modern alternative rock', 'modern rock', 'punk blues', 'rock']"
Cage The Elephant,"['indie rock', 'modern alternative rock', 'modern rock', 'punk blues', 'rock']"
Cai Xian Le,[]
Caiano & F Red,[]
Caifanes,"['latin alternative', 'latin rock', 'mexican rock', 'nu-cumbia', 'rock en espanol', 'rock urbano mexicano']"
Cailin Russo,['la pop']
Caillou,"[""canadian children's music"", 'cartoon', ""children's music"", 'musique pour enfant quebecois']"
Cain/Abel,[]
Cairo Braga,[]
Caitlin Potter,[]
Cajmere,"['chicago house', 'deep house', 'footwork']"
Cake,"['alternative rock', 'modern rock', 'pop rock', 'rock', 'sacramento indie']"
Cake!,"['alternative rock', 'modern rock', 'pop rock', 'rock', 'sacramento indie']"
Cal Browne,[]
Cal Golden's Arkansas Mountain Boys,[]
Cal Smith,"['classic country pop', 'oklahoma country']"
Cal Tjader,"['bebop', 'bossa nova', 'cool jazz', 'jazz', 'jazz funk', 'jazz vibraphone', 'latin jazz', 'lounge', 'soul jazz']"
Cal Tjader Quartet,[]
Cal Tjader's Modern Mambo Quintet,[]
Calagad 13,['bboy']
Calboy,"['chicago rap', 'melodic rap', 'rap', 'southern hip hop', 'trap', 'vapor trap']"
Calcutta Youth Choir,"[""children's choir""]"
Caldiero Trio,[]
Caleb Hyles,['otacore']
Caleb Jones,['baroque pop']
caleb scarberry,[]
Cales & Mr Hyde,[]
Cali Agents,"['hardcore hip hop', 'jazz rap', 'turntablism', 'underground rap']"
Cali Big Band,['salsa colombiana']
Cali Carranza,['tejano']
Cali Life Style,"['chicano rap', 'latin hip hop']"
Cali Soul,['lo-fi cover']
Cali Swag District,['pop rap']
Cali Y El Dandee,"['champeta', 'colombian pop', 'electro latino', 'latin', 'latin pop', 'reggaeton', 'reggaeton colombiano', 'trap latino', 'tropical']"
Calibre 50,"['corrido', 'nuevo regional mexicano', 'regional mexican']"
California Dreamers,[]
Caligagan,[]
Calippo,"['deep groove house', 'edm', 'electro house', 'house', 'pop dance', 'pop edm', 'tropical house']"
Calixto Ochoa,"['classic colombian pop', 'cumbia']"
Calixto Ochoa y Su Conjunto,['cumbia']
Call Me Karizma,"['emo rap', 'minnesota hip hop', 'modern alternative rock', 'pop rap', 'social media pop']"
Call Me Madam Ensemble,[]
Call Me Madam Orchestra,[]
Callalily,"['opm', 'pinoy rock']"
Calle 13,"['latin', 'latin afrobeat', 'latin alternative', 'latin hip hop', 'puerto rican rock', 'rap conciencia', 'reggaeton', 'rock en espanol', 'tropical']"
Calloway,"['big band', 'harlem renaissance', 'jazz blues', 'swing']"
Callum Miller,[]
Cally Kwong,"['c-pop', 'classic cantopop', 'classic mandopop']"
Calm,['sleep']
Calm Bird Sounds,"['environmental', 'sleep']"
Calm Music Zone,[]
Calming Rainforest Sounds,"['environmental', 'sleep']"
Calming Sounds,['sleep']
Calmsound,"['environmental', 'sleep']"
Calo,"['guadalajara indie', 'latin alternative', 'latin rock', 'mexican indie']"
Calories Blah Blah,['thai pop']
Calum Scott,"['neo mellow', 'pop', 'viral pop']"
"Calvin ""fuzz"" Jones",[]
Calvin Biasi,[]
Calvin Harris,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'pop dance', 'progressive house', 'uk dance']"
Calvin O'Commor,[]
Cam,"['dance pop', 'electropop', 'pop', 'pop dance', 'post-teen pop']"
Cam Clarke,[]
Cam O'bi,[]
Cam’ron,"['battle rap', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'harlem hip hop', 'hip hop', 'hip pop', 'pop rap', 'rap', 'southern hip hop', 'trap']"
Camarata Chorus and Orchestra,[]
Camaron De La Isla,"['cante flamenco', 'flamenco', 'nuevo flamenco', 'rumba']"
Camayenne Sofa,['west african jazz']
Cambridge Symphonic Brass Ensemble,['brass ensemble']
Camea,['minimal tech house']
Camel,"['deep tech house', 'disco house', 'edm', 'house', 'pop dance', 'progressive house', 'tropical house']"
Cameo,"['disco', 'electro', 'funk', 'motown', 'new jack swing', 'popping', 'post-disco', 'quiet storm', 'soul', 'urban contemporary']"
Cameo Blush,[]
Cameo Bobo,[]
Camerata Academica des Mozarteums Salzburg,['austrian orchestra']
Cameron Boyce,[]
Cameron Seely,['movie tunes']
Camila,"['dance pop', 'electropop', 'pop', 'pop dance', 'post-teen pop']"
Camila Cabello,"['dance pop', 'electropop', 'pop', 'pop dance', 'post-teen pop']"
Camille,"['classical', 'french romanticism', 'late romantic era']"
Camille Decreus,['french romanticism']
Camille Saint-Saëns,"['classical', 'french romanticism', 'late romantic era']"
Camille Yarbrough,['psychedelic soul']
Camilo,"['colombian pop', 'latin', 'reggaeton colombiano']"
Camilo Sesto,"['bolero', 'latin', 'latin pop', 'ranchera']"
Camouflage,"['dance rock', 'futurepop', 'new romantic', 'new wave', 'synthpop']"
Camp Lo,"['alternative hip hop', 'bronx hip hop', 'east coast hip hop', 'hardcore hip hop', 'hip hop', 'jazz rap']"
Camper Van Beethoven,"['alternative pop', 'alternative rock', 'gbvfi', 'jangle pop']"
CAN,"['corrido', 'corridos tumbados', 'nuevo regional mexicano', 'regional mexican', 'sierreno']"
Canaan Smith,"['contemporary country', 'country', 'country pop', 'country road', 'modern country rock']"
Canadian Brass,"['brass band', 'brass ensemble', 'brass quintet']"
Canadian Cast of 'Phantom Of The Opera',[]
Canciones De Cuna,['musica para ninos']
Canciones De Navidad,[]
Candace,[]
Candace Sosa,[]
Candeia,"['choro', 'pagode', 'partido alto', 'samba', 'velha guarda']"
Candi Staton,"['classic soul', 'disco', 'motown', 'quiet storm', 'soul', 'southern soul']"
Candice,[]
Candide Ensemble,[]
Candide Ensemble & Orchestra,[]
Candide Orchestra,[]
Candido,['disco']
Candido Camero,['jazz cubano']
"Candido das Neves ""Indio""",[]
Candlebox,"['alternative metal', 'alternative rock', 'grunge', 'pop rock', 'post-grunge', 'rock']"
Candlemass,"['death metal', 'doom metal', 'epic doom', 'hard rock', 'metal', 'opera metal', 'swedish doom metal', 'swedish metal']"
Candy Cane Trio,['christmas instrumental']
Candy Dulfer,['smooth jazz']
Candy Johnson,[]
Candy Lo,"['c-pop', 'cantopop', 'chinese indie']"
Candyman,[]
Canhoto,"['sertanejo', 'sertanejo tradicional', 'sertanejo universitario']"
Canibus,"['battle rap', 'bronx hip hop', 'east coast hip hop', 'hardcore hip hop', 'hip hop', 'queens hip hop']"
Cannavo & Nesse,[]
Canned Heat,"['album rock', 'blues', 'blues rock', 'classic rock', 'country rock', 'electric blues', 'folk rock', 'hard rock', 'mellow gold', 'psychedelic rock', 'rock', 'roots rock']"
Cannelle,[]
Cannibal & The Headhunters,[]
Cannibal Corpse,"['brutal death metal', 'buffalo ny metal', 'death metal', 'metal']"
Cannibus,[]
Cannonball Adderley,"['bebop', 'big band', 'contemporary post-bop', 'cool jazz', 'hard bop', 'jazz', 'jazz blues', 'jazz fusion', 'soul jazz', 'stride', 'swing', 'vocal jazz']"
Cannonball Adderley Quartet,[]
Cannons,['vapor soul']
Cano Estremera,"['latin jazz', 'salsa', 'salsa international', 'tropical']"
Canserbero,"['rap conciencia', 'venezuelan hip hop']"
Canticuentos,['musica para ninos']
Cantoma,"['chill lounge', 'electro jazz', 'nu jazz']"
Cantores Michaelis,[]
Cantus,['norwegian choir']
Canzoni di Natale,[]
Caos,[]
Cap'n Jazz,[]
Capa,"['pop', 'uk pop']"
Capcom Sound Team,"['anime score', 'japanese vgm', 'sound team']"
Capella Brugensis,[]
Capella Istropolitana,['chamber orchestra']
Capital Cities,"['alternative dance', 'metropopolis']"
Capital Letters,"['dub', 'reggae', 'roots reggae', 'uk reggae']"
Capital Steez,['deep east coast hip hop']
Capitol Studio Orchestra,[]
Capleton,"['dancehall', 'lovers rock', 'old school dancehall', 'reggae', 'roots reggae']"
Capone-N-Noreaga,"['boom bap', 'east coast hip hop', 'gangster rap', 'hardcore hip hop', 'hip hop', 'queens hip hop']"
Cappadonna,"['east coast hip hop', 'hardcore hip hop']"
Cappella Coloniensis,"['barockinterpreten', 'baroque ensemble', 'historically informed performance']"
Capt John Handy's New Orleans Four,[]
Capt. John Handy,[]
Captain & Tennille,"['adult standards', 'brill building pop', 'bubblegum pop', 'classic uk pop', 'disco', 'folk', 'mellow gold', 'soft rock', 'yacht rock']"
Captain Beefheart,"['art rock', 'country rock', 'dance rock', 'experimental', 'experimental rock', 'folk rock', 'outsider', 'post-punk', 'protopunk', 'psychedelic rock', 'roots rock', 'zolo']"
Captain Beefheart & His Magic Band,"['art rock', 'country rock', 'dance rock', 'experimental', 'experimental rock', 'folk rock', 'outsider', 'post-punk', 'protopunk', 'psychedelic rock', 'roots rock', 'zolo']"
Captain Beyond,"['blues rock', 'psychedelic blues-rock', 'psychedelic rock']"
Captain Creg Hallatt,[]
Captain Cuts,['pop edm']
Captain Hollywood Project,"['bubblegum dance', 'diva house', 'eurodance', 'europop', 'german techno', 'hip house']"
Captain Hook,"['progressive psytrance', 'psychedelic trance']"
Captain Jack,"['bubblegum dance', 'eurodance', 'europop', 'german techno', 'hip house']"
Captain Tractor,"['canadian celtic', 'canadian indie', 'celtic rock', 'edmonton indie']"
Car Seat Headrest,"['alternative rock', 'anti-folk', 'indie pop', 'indie rock', 'modern rock']"
Caramella Girls,['bubblegum dance']
Caravan,"['electro swing', 'nu jazz']"
Caravan Palace,"['electro swing', 'nu jazz']"
Caravelli,"['ballroom', 'easy listening', 'lounge', 'romantico']"
Carcass,"['alternative metal', 'british death metal', 'british grindcore', 'brutal death metal', ""death 'n' roll"", 'death metal', 'deathgrind', 'goregrind', 'metal', 'technical death metal']"
Cardenales De Nuevo León,"['corrido', 'norteno', 'ranchera', 'regional mexican']"
Cardi B,"['dance pop', 'pop', 'pop rap', 'rap']"
Cardinal,"['alternative country', 'new americana', 'roots rock']"
Cardinal Rex Jim Lawson,['highlife']
Cardio Hits! Workout,['workout product']
Career Suicide,"['canadian hardcore', 'canadian punk', 'garage punk', 'hardcore punk', 'thrash core']"
Cari,"['corrido', 'nuevo regional mexicano', 'regional mexican', 'sierreno']"
Cari Golden,[]
Caribou,"['alternative dance', 'chillwave', 'electronica', 'electropop', 'folktronica', 'indie rock', 'indie soul', 'indietronica', 'intelligent dance music', 'new rave']"
Carin Leon,"['corrido', 'nuevo regional mexicano', 'regional mexican', 'sierreno']"
Carina Round,"['lilith', 'melancholia']"
Carl Allen,[]
Carl Anderson,['country pop']
Carl B.,"['acoustic pop', 'folk', 'indie folk', 'indie pop', 'lilith', 'modern folk rock', 'neo mellow', 'new americana', 'pop rock', 'stomp and holler']"
Carl Belew,"['nashville sound', 'oklahoma country']"
Carl Butler,['honky tonk']
Carl Carlton,"['dance pop', 'lilith', 'neo mellow', 'piano rock', 'pop rock']"
Carl Clarks,[]
Carl Cotner,[]
Carl Cotner & His Orchestra,[]
Carl Cotner's Orchestra,[]
Carl Cotner's Orchestra and Chorus,[]
Carl Cox,"['house', 'schranz', 'tech house', 'uk tech house']"
Carl Dawkins,['rock steady']
Carl Ditters von Dittersdorf,['classical era']
Carl Douglas,['disco']
Carl Engel,[]
Carl Fischer,[]
Carl Hunter,[]
Carl Leopold Sjöberg,[]
Carl Mann,"['rock-and-roll', 'rockabilly', 'swamp pop']"
Carl Maria von Weber,"['classical', 'classical era', 'early music', 'early romantic era', 'german romanticism']"
Carl Michael Ziehrer,['operetta']
Carl Millöcker,"['german opera', 'operetta']"
Carl Nielsen,"['classical', 'danish classical', 'early modern classical', 'post-romantic era']"
Carl Orff,"['classical', 'early modern classical']"
Carl Perkins,"['rock-and-roll', 'rockabilly']"
Carl Philipp Emanuel Bach,"['classical', 'classical era', 'galante era', 'german baroque']"
Carl Philipp Emanuel Bach Chamber Orchestra,['chamber orchestra']
Carl Reiner,[]
Carl Rütti,[]
Carl Sandburg,['poetry']
Carl Schuricht,"['historic orchestral performance', 'orchestral performance']"
Carl Sims,"['memphis soul', 'southern soul', 'southern soul blues']"
Carl Smith,['honky tonk']
Carl Tausig,['early romantic era']
Carl Thomas,"['hip pop', 'neo soul', 'new jack swing', 'quiet storm', 'r&b', 'urban contemporary']"
Carl Tucker,[]
Carl Verheyen,[]
Carl Woitschach,[]
Carl Zeller,"['german opera', 'operetta']"
Carl Zittrer,['canadian soundtrack']
Carla Benson,[]
Carla Bley,"['avant-garde jazz', 'contemporary jazz', 'contemporary post-bop', 'cool jazz', 'ecm-style jazz', 'free improvisation', 'free jazz', 'italian jazz', 'japanese jazz', 'jazz', 'jazz fusion', 'norwegian jazz', 'swedish jazz', 'vocal jazz']"
Carla Boni,"['canzone napoletana', 'vintage italian pop']"
Carla Boni con Orchestra Pepe Latini,[]
Carla Bruni,['chanson']
Carla Gavazzi,['italian soprano']
Carla Morrison,['mexican pop']
Carla Thomas,"['brill building pop', 'classic soul', 'memphis soul', 'motown', 'rhythm and blues', 'soul', 'southern soul']"
Carla Werner,[]
Carlene Carter,"['country', 'country dawn', 'country rock']"
Carlinhos sabiá,[]
Carlo,"['champeta', 'colombian pop', 'latin', 'latin pop', 'tropical', 'vallenato']"
Carlo Badioli,[]
Carlo Bergonzi,"['classical tenor', 'italian tenor', 'opera']"
Carlo Buti,"['canzone napoletana', 'vintage italian pop']"
Carlo Buti Con Orchestra Stefano Ferruzzi,[]
Carlo Donida Labati,[]
Carlo Forti,['italian bass']
"Carlo Forti, Aurora Cattelani,Giuseppe di Stefano, Orchestra del Teatro alla Scala di Milano, Tullio Serafin",[]
Carlo Maria Giulini,"['classical performance', 'opera', 'orchestral performance']"
Carlo Pepoli,[]
Carlo Rizzi,[]
Carlo Rustichelli,"['classic soundtrack', 'vintage italian soundtrack']"
Carlo Savina,['vintage italian soundtrack']
Carlo Tagliabue,['italian baritone']
"Carlos ""Potato"" Valdez",[]
"Carlos ""Totico"" Eugenio",[]
Carlos Alberto,['bandolim']
Carlos Argentino,[]
Carlos Baute,"['latin', 'latin pop', 'spanish pop', 'tropical']"
Carlos Dante,['vintage tango']
Carlos Di Sarli,"['orquesta tipica', 'tango', 'tango cancion', 'vintage tango']"
Carlos Galán,[]
Carlos Galhardo,['velha guarda']
Carlos Gardel,"['latin classical', 'nueva cancion', 'tango']"
Carlos Gonzalez,['nueva ola chilena']
Carlos Guichandut,[]
Carlos Kleiber,"['classical performance', 'orchestral performance']"
Carlos Lafuente,['orquesta tipica']
Carlos Lyra,"['bossa nova', 'brazilian jazz']"
CARLOS MATA,['pop romantico']
Carlos Mejia,"['musica nicaraguense', 'nueva cancion']"
Carlos Mejía,"['musica nicaraguense', 'nueva cancion']"
Carlos Montoya,"['flamenco', 'flamenco guitar', 'rumba']"
Carlos Munguia,['spanish classical']
Carlos Paredes,"['fado', 'guitarra portuguesa', 'portuguese jazz']"
Carlos Ponce,"['latin', 'latin pop', 'puerto rican pop']"
Carlos Ribas,[]
Carlos Rodgers,[]
Carlos Roldán,['vintage tango']
Carlos Russo,[]
Carlos Sanchez,[]
Carlos Santana,"['blues rock', 'jazz fusion']"
Carlos Santana & Buddy Miles,[]
Carlos Valdes,[]
Carlos Vives,"['champeta', 'colombian pop', 'latin', 'latin pop', 'tropical', 'vallenato']"
Carlos y Alejandra,"['bachata', 'bachata dominicana', 'latin', 'tropical']"
Carlos Y Jose,"['corrido', 'norteno']"
Carlota Jaramillo,"['cumbia ecuatoriana', 'folklore ecuatoriano']"
Carlton and the Shoes,"['lovers rock', 'rock steady']"
Carlton Williams,[]
Carly Pearce,"['contemporary country', 'country pop']"
Carly Rae Jepsen,"['canadian pop', 'dance pop', 'electropop', 'indie poptimism', 'pop', 'pop dance', 'post-teen pop']"
Carly Simon,"['adult standards', 'brill building pop', 'classic rock', 'classic uk pop', 'country rock', 'folk', 'folk rock', 'mellow gold', 'soft rock']"
Carman,"['christian alternative rock', 'christian music', 'deep christian rock', 'worship']"
Carmela Y Rafael,"['bolero', 'mexican rock-and-roll', 'ranchera']"
Carmell Jones,['hard bop']
Carmelo Zappulla,['canzone napoletana']
Carmen,"['adult standards', 'album rock', 'disco', 'mellow gold', 'new wave pop', 'soft rock', 'yacht rock']"
Carmen Cavallaro,"['big band', 'easy listening', 'lounge']"
Carmen Costa,['velha guarda']
Carmen Delia Dipini,"['bolero', 'classic colombian pop']"
Carmen Duval,[]
Carmen Gonzalez,[]
Carmen Gutierrez,[]
Carmen McRae,"['adult standards', 'torch song', 'vocal jazz']"
Carmen Miranda,"['samba', 'velha guarda']"
Carmen Morae,[]
Carmen Morell,['copla']
Carmen Twillie,"['disney', 'movie tunes']"
Carnage,"['edm', 'electro house', 'electronic trap', 'pop rap', 'trap', 'underground hip hop']"
Carnage & Cluster,['doomcore']
Carnie And Wendy Wilson,[]
Carnivore,"['crossover thrash', 'death metal', 'metal', 'old school thrash', 'thrash metal']"
Carnoustie and District Youth Brass Band,[]
Carol Burnett,[]
Carol Candy,[]
Carol Channing,[]
Carol Cole,[]
Carol Comune,['neo-classical']
Carol Cool,['reggae cover']
Carol Douglas,"['deep disco', 'disco']"
Carol Hall,[]
Carol Haney,[]
Carol Lawrence,[]
Carol Lynn Townes,[]
Carol Richards,[]
Carol Rosenberger,['american classical piano']
Carol Tevis,[]
Carol Tornquist,[]
Carole King,"['adult standards', 'brill building pop', 'classic rock', 'folk', 'folk rock', 'mellow gold', 'rock', 'singer-songwriter', 'soft rock', 'soul']"
Carole Landis,[]
Carole Richards,[]
carolesdaughter,[]
Carolin No,[]
Carolina Cardoso de Menezes,[]
Carolina Liar,"['modern alternative rock', 'neo mellow', 'pop rock']"
CarolinaBlue & MisterSmallz,[]
Caroline D'Amore,[]
Caroline Hjelt,[]
Caroline Trevor,[]
Carollers from the 2006 Festival,[]
Carolyn Hester,['american folk revival']
Carolyn Leigh,[]
Carolyn SurrickMarcia Diehl,[]
Carolyn Watkinson,['classical contralto']
Caron Wheeler,['british soul']
Carpenters,"['adult standards', 'mellow gold', 'soft rock']"
Carre,"['contemporary gospel', 'gospel', 'gospel r&b']"
Carrie Fletcher,"['broadway', 'hollywood', 'show tunes']"
Carrie Skipper,['vocal trance']
Carrie Underwood,"['contemporary country', 'country', 'country dawn', 'dance pop', 'oklahoma country', 'pop']"
Carroll County Revellers,[]
Carroll Dickerson Orchestra,[]
Carroll Dickerson's Savoyagers,[]
Carroll Gibbons,['british dance band']
Carrots,[]
Cartel,"['latin hip hop', 'mexican hip hop']"
Cartel De Santa,"['latin hip hop', 'mexican hip hop']"
Carter Beauford,[]
Cartier99,[]
Cartola,"['bossa nova', 'mpb', 'pagode', 'samba', 'velha guarda']"
Cartoon,['gaming edm']
Cartoon Rainbow,[]
Cartoone,[]
Cartoons,"['bubblegum dance', 'europop']"
Cary Grace,[]
Cary Grant,[]
Caryl Little,[]
Casa De Leones,"['latin', 'latin hip hop', 'reggaeton', 'reggaeton flow', 'trap latino', 'tropical']"
Casada Ernesto Lecuona,[]
Cascada,"['bubblegum dance', 'dance pop', 'eurodance', 'europop', 'german techno', 'melbourne bounce international', 'pop dance', 'pop rap']"
Cascandy,[]
Cascatinha & Inhana,['sertanejo tradicional']
Case,"['contemporary country', 'texas country']"
Casely,[]
Casey,"['contemporary country', 'texas country']"
Casey Bill Weldon,['traditional blues']
Casey Donahew,"['contemporary country', 'texas country']"
Casey Lee Williams,[]
Casey Veggies,"['hip hop', 'rap', 'underground hip hop', 'west coast trap']"
Casey Watson,[]
Cash Cash,"['arkansas country', 'outlaw country']"
Cashmere Cat,"['dance pop', 'downtempo', 'edm', 'pop', 'post-teen pop', 'shiver pop']"
Casino,"['chillwave', 'experimental hip hop', 'psychedelic hip hop', 'underground hip hop', 'vapor twitch', 'wave', 'witch house']"
Casino Versus Japan,"['ambient', 'deep idm', 'drill and bass', 'indie electronica', 'intelligent dance music']"
CASIOPEA,"['japanese jazz', 'japanese jazz fusion', 'jazz fusion']"
Caskey,['deep underground hip hop']
Caslin,[]
Caspar Babypants,"[""children's folk"", ""children's music"", 'kindie rock', ""preschool children's music""]"
Casper Magico,"['latin', 'latin hip hop', 'reggaeton', 'reggaeton flow', 'trap latino', 'tropical']"
Cass,"['contemporary country', 'country pop', 'pop emo', 'viral pop']"
Cass & Mangan,[]
Cass County Boys,[]
Cass Elliot,[]
Cass Phang,"['c-pop', 'cantopop', 'classic cantopop']"
Cassadee Pope,"['contemporary country', 'country pop', 'pop emo', 'viral pop']"
Cassandra Fox,[]
Cassandra Grey,['vocal trance']
Cassandra Wilson,"['contemporary vocal jazz', 'vocal jazz']"
Casseopaya,[]
Cassian,"['brazilian edm', 'house', 'nu disco']"
Cassidy,"['adult standards', 'folk', 'lilith', 'mellow gold', 'vocal jazz']"
Cassie,"['dance pop', 'hip pop', 'pop rap', 'r&b', 'urban contemporary']"
Cassius,[]
Cassius Clay (Muhammad Ali),[]
Cast,['broadway']
Cast - Frozen,['disney']
Cast - Mary Poppins,[]
Cast - Sofia the First,['disney']
Cast - Tarzan,[]
Cast - The Nightmare Before Christmas,['movie tunes']
Cast Of Mamma Mia The Movie,['hollywood']
Cast Of Rent,"['hollywood', 'show tunes']"
Cast Of The Motion Picture Rent,"['hollywood', 'show tunes']"
Castaneda,[]
Castella,[]
Castelnuevo-Tedesco,[]
Casting Crowns,"['ccm', 'christian alternative rock', 'christian music', 'world worship', 'worship']"
Castle Farm,[]
Castle Hill Orchestra,[]
Castro Barbosa,[]
Casual Breakdown,[]
Cat Anderson,['jazz trumpet']
Cat Power,"['art pop', 'freak folk', 'indie rock', 'melancholia', 'singer-songwriter', 'slowcore']"
Catalepsia,['latvian metal']
Catalonian cobla group,[]
Catch 22,"['modern ska punk', 'punk', 'ska', 'ska punk', 'skate punk']"
Cate Kanell,['vocal trance']
Caterina Mancini,['italian soprano']
Caterina Valente,"['classic schlager', 'vintage schlager']"
Catfish and the Bottlemen,"['modern alternative rock', 'modern rock', 'rock', 'stomp pop', 'welsh rock']"
Catherine Feeny,['acoustic pop']
Catherine Howe,['british folk']
Catherine Mackintosh/Paul Goodwin/Timothy Brown/Susan Dent/Orchestra of the Age of Enlightenment,[]
Catherine O'Hara,[]
Catherine Robbin,[]
Catherine Wheel,"['alternative pop', 'alternative rock', 'dream pop', 'nu gaze', 'shoegaze']"
Catherine Wyn-Rogers,"['classical mezzo-soprano', 'historically informed performance']"
Catherine Zeta-Jones,"['hollywood', 'show tunes']"
Cathy Burton,['vocal trance']
Cathy Dennis,"['diva house', 'freestyle', 'new wave pop']"
Cause & Effect,"['neo-synthpop', 'synthpop']"
Cautious Clay,"['alternative r&b', 'chill r&b', 'indie r&b', 'nyc pop', 'pop', 'vapor soul']"
Cauty,"['latin', 'perreo', 'reggaeton', 'reggaeton flow', 'trap latino']"
Cavetown,"['bedroom pop', 'indie pop', 'modern rock']"
Cavo,"['hard alternative', 'post-grunge']"
Cazuza,"['brazilian rock', 'mpb', 'rock nacional brasileiro']"
Cazzu,"['argentine hip hop', 'rap latina', 'reggaeton', 'trap argentino', 'trap latino']"
CBC Symphony Orchestra,[]
CDM Project,[]
CeCe Peniston,"['diva house', 'hip house', 'urban contemporary', 'vocal house']"
CeCe Rogers,[]
CeCe Winans,['gospel']
Cecil Aagaard & His Swingers,[]
Cecil Aronowitz,[]
Cecil Frances Alexander,[]
Cecil James,[]
Cecil Lytle,[]
Cecil Taylor,"['avant-garde', 'avant-garde jazz', 'bebop', 'contemporary post-bop', 'cool jazz', 'experimental', 'free improvisation', 'free jazz', 'jazz', 'jazz piano']"
Cécile Chaminade,"['french romanticism', 'late romantic era']"
Cecile Charlton,[]
Cecilia,"['classical performance', 'italian orchestra', 'opera']"
Cecilia Bartoli,"['classical mezzo-soprano', 'classical performance', 'italian mezzo-soprano', 'opera']"
Cecilia Pastawski,[]
Cecilio & Kapono,"['hawaiian', 'jawaiian']"
