artists,genres
2CELLOS,"['bow pop', 'cello', 'classify']"
2Glory,[]
2KBABY,['kentucky hip hop']
2Loop,[]
2nClubbers,[]
2nd Chapter Of Acts,"['christian music', 'deep christian rock']"
2nd Generation Outlawz,[]
2nd II None,"['gangster rap', 'west coast rap']"
2nd South Carolina String Band,"['early american folk', 'string band', 'traditional country']"
2NE1,"['dance pop', 'k-pop', 'k-pop girl group', 'pop dance']"
2Pac,"['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']"
2ReD Suns,[]
2Rock,['russian trance']
2tone,['kawaii future bass']
2WRAPZ,[]
3 Doors Down,"['alternative metal', 'nu metal', 'pop rock', 'post-grunge']"
3 in One,[]
3 Years Down,[]
347aidan,['sad rap']
35MM: A Musical Exhibition Original Cast,[]
36 Crazyfists,"['alternative metal', 'groove metal', 'melodic metalcore', 'metalcore', 'nu metal', 'rap rock']"
38 Special,"['album rock', 'classic rock', 'country rock', 'folk rock', 'hard rock', 'mellow gold', 'rock', 'soft rock', 'southern rock']"
3B Glel,[]
3BallMTY,['trival']
3BDF Blicky,[]
3CE,[]
3kStatic,[]
3LAU,"['big room', 'edm', 'electro house', 'electronic trap', 'electropop', 'future bass', 'mashup', 'pop dance', 'pop edm', 'progressive electro house', 'progressive house', 'tropical house']"
3LW,"['girl group', 'hip pop', 'r&b', 'urban contemporary']"
3M,[]
3OH!3,"['dance pop', 'electropowerpop', 'pop', 'pop punk', 'pop rap', 'post-teen pop']"
3Phazegenerator,['dark minimal techno']
3rd Bass,"['east coast hip hop', 'electro', 'gangster rap', 'hardcore hip hop', 'hip hop', 'hip house', 'rap']"
3rd Moon,[]
3rd Strike,"['nu metal', 'rap rock']"
3T,['baton rouge rap']
3X Krazy,"['g funk', 'hyphy', 'west coast rap']"
4 Elements,[]
4 Non Blondes,"['new wave pop', 'pop rock']"
4 P.M.,"['anime rock', 'vocaloid']"
4 Skins,"['oi', 'punk', 'ska']"
4 Strings,"['bubble trance', 'dutch trance', 'trance', 'uplifting trance', 'vocal trance']"
40 Thevz,[]
40 Thieves,"['balearic', 'nu disco']"
42 Dugg,"['detroit trap', 'rap', 'southern hip hop', 'trap']"
42nd Street Ensemble,['broadway']
45 Grave,"['dark wave', 'deathrock', 'gothic rock', 'horror punk']"
4509 STARPASS Prodcutions,[]
4D,['environmental']
4Him,"['christian alternative rock', 'christian music', 'worship']"
4Tu,[]
5 Seconds of Summer,"['boy band', 'dance pop', 'pop', 'post-teen pop']"
50 Cent,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'queens hip hop', 'rap']"
50 Guitars of Tommy Garrett,"['ballroom', 'easy listening']"
504 Boyz,"['dirty south rap', 'pop rap', 'southern hip hop']"
53A,[]
54-40,"['canadian indie', 'canadian rock']"
5th Ward Boyz,"['dirty south rap', 'dirty texas rap', 'gangster rap', 'houston rap']"
6 Dogs,"['dark trap', 'emo rap', 'melodic rap', 'underground hip hop', 'vapor trap']"
6.9hz,[]
69 Boyz,['miami bass']
6ix9ine,['emo rap']
6LACK,"['alternative r&b', 'atl hip hop', 'hip hop', 'melodic rap', 'pop rap', 'rap', 'trap']"
7 Seconds,"['hardcore', 'hardcore punk', 'melodic hardcore', 'punk', 'skate punk', 'straight edge']"
7 Skies,['uplifting trance']
7 Year Bitch,"['grunge', 'riot grrrl']"
72 Soul,[]
7AM At Heavens Gate,[]
7th Order,[]
8 Wonders,[]
8-Bit Arcade,"['8-bit', 'scorecore']"
808 State,"['acid house', 'big beat', 'chicago house', 'hardcore techno', 'hip house', 'intelligent dance music', 'madchester', 'rave', 'techno']"
88-Keys,['alternative hip hop']
